source_file,mongo_id,reviewerID,asin,reviewerName,helpful_votes,helpful_total,helpful_ratio,reviewText,text_length,text_missing,text_very_short,summary,summary_missing,overall,rating_polarity,unixReviewTime,review_datetime_utc,category
Cell_Phones_and_Accessories.csv,5a1321d5741a2384e802c552,A3HVRXV0LVJN7,0110400550,BiancaNicole,4.0,4.0,1.0,Best phone case ever . Everywhere I go I get a ton of compliments on it. It was in perfect condition as well.,109,0,0,A++++,0,5.0,1.0,1358035200.0,2013-01-13 00:00:00+00:00,Cell_Phones_and_Accessories
Cell_Phones_and_Accessories.csv,5a1321d5741a2384e802c557,A1BJGDS0L1IO6I,0110400550,"cf ""t""",0.0,3.0,0.0,ITEM NOT SENT from Blue Top Company in Hong Kong and it's been over two months!  I will report this.  DO NOT use this company.  Not happy at all!,145,0,0,ITEM NOT SENT!!,0,1.0,0.0,1359504000.0,2013-01-30 00:00:00+00:00,Cell_Phones_and_Accessories
Cell_Phones_and_Accessories.csv,5a1321d5741a2384e802c550,A1YX2RBMS1L9L,0110400550,Andrea Busch,0.0,0.0,,Saw this same case at a theme park store for 25 dollars. This is very good quality for a great price.,101,0,0,Great product,0,5.0,1.0,1353542400.0,2012-11-22 00:00:00+00:00,Cell_Phones_and_Accessories
Cell_Phones_and_Accessories.csv,5a1321d5741a2384e802c553,A180NNPPKWCCU0,0110400550,Aniya pennington,3.0,3.0,1.0,case fits perfectly and I always gets compliments on it its hasn't cracked when I dropped it. wonderful and protective.,119,0,0,Perfect,0,5.0,1.0,1374105600.0,2013-07-18 00:00:00+00:00,Cell_Phones_and_Accessories
Cell_Phones_and_Accessories.csv,5a1321d5741a2384e802c559,A30P2CYOUYAJM8,0110400550,Gene,1.0,1.0,1.0,I got this for my 14 year old sister.  She loves it.  I really really don't have any complaints. Yeah,101,0,0,Cool purchase.,0,4.0,1.0,1363737600.0,2013-03-20 00:00:00+00:00,Cell_Phones_and_Accessories
Cell_Phones_and_Accessories.csv,5a1321d5741a2384e802c55b,A2UCUB1VC1SDJK,0110400550,Justine,6.0,6.0,1.0,"This case is extremely durabl;e. I've dropped my phone atleast ten times ( I'm clumsy) since I got this case. Still no cracks in the case. My favorite part about this switcheasy case is that the plastic goes over the front of my phone, so no matter how many times it drops face down, the screen is protected from cracking.",322,0,0,asdfghjkl;,0,5.0,1.0,1342224000.0,2012-07-14 00:00:00+00:00,Cell_Phones_and_Accessories
Cell_Phones_and_Accessories.csv,5a1321d5741a2384e802c558,A1KO9L34Z7548N,0110400550,clevebrowns626,0.0,1.0,0.0,"The case is good, but the two pieces do not fit all the way together.  It is slightly off and no matter how much I tried(even shaving the side a little) it wouldn't slide into each other.  The gap is very, very little and you can barley notice it.  The bottom of the case has never slid off, so I will deal with it for the wonderful price!",339,0,0,OK for the price,0,3.0,0.0,1355961600.0,2012-12-20 00:00:00+00:00,Cell_Phones_and_Accessories
Cell_Phones_and_Accessories.csv,5a1321d5741a2384e802c551,A1EWN6KZ4HMLT7,011040047X,S. Prescott,2.0,2.0,1.0,"The case pictured is a soft violet color, but the case cover I received was a dark purple. While I'm sure the quality of the product is fine, the color is very different.",170,0,0,Wrong color,0,1.0,0.0,1344902400.0,2012-08-14 00:00:00+00:00,Cell_Phones_and_Accessories
Cell_Phones_and_Accessories.csv,5a1321d5741a2384e802c55c,A1LNL9KCAUBIT,0110400550,Karla,1.0,2.0,0.5,"I ordered this as a birthday present for my sister. It arrived quickly, but I was very disappointed. The item was loose, the cover slipped off whenever I tried to lock my phone, the pieces didn't even fit together, the color doesn't match the picture. This is one of the worst items I've ever bought. Terrible item. I see no reason for the sale of this, this item is completely USELESS.",386,0,0,Doesn't Work at All!!,0,1.0,0.0,1371254400.0,2013-06-15 00:00:00+00:00,Cell_Phones_and_Accessories
Cell_Phones_and_Accessories.csv,5a1321d5741a2384e802c55e,A2WDCRQNARX6MG,0110400550,Kimberley,0.0,0.0,,"I like the case for its colors, but the lower part where it should snap onto the upper part, comes off easily.",110,0,0,doenst fit good,0,3.0,0.0,1390003200.0,2014-01-18 00:00:00+00:00,Cell_Phones_and_Accessories
Cell_Phones_and_Accessories.csv,5a1321d5741a2384e802c55f,A2HL78OBL9UYRE,0110400550,Kstyle,0.0,2.0,0.0,"As excited as I was to purchase this item, the day that it arrived had me on cloud 9. No more worrying about potentially dropping my phone and breaking it. However sadly this case was not worth the money invested. The top piece did not fit with the bottom piece so one sad day at Disneyland,upon retrieving my phone, the top piece slid right off, remaining in my hands while my iPhone hit the asphalt, cracking right down the middle. Clearly purchasing this case was a HUGE mistake.",482,0,0,POS,0,1.0,0.0,1352678400.0,2012-11-12 00:00:00+00:00,Cell_Phones_and_Accessories
Cell_Phones_and_Accessories.csv,5a1321d5741a2384e802c560,A14C9GGECI06HU,0110400550,Lanie,5.0,5.0,1.0,"I got the case very quick and way before the expected date! It came perfect and is really easy to put together. Super cute!Also, I have dropped my phone many times in the case since its been bought on concrete and asphalt and my phone has not one scratch and crack. Way better than an otterbox",293,0,0,Amazing!,0,5.0,1.0,1345334400.0,2012-08-19 00:00:00+00:00,Cell_Phones_and_Accessories
Cell_Phones_and_Accessories.csv,5a1321d5741a2384e802c555,ANG01NK4RXCI9,0110400550,Charles Kodi Bomberry,1.0,1.0,1.0,"this is a cute case, I bought it for my wife but it was really hard to take off considering it was way too tight for the phone. When I put it on for her, it caused the screen protector to bubble up. I thought I was gonna end up breaking it when trying to remove it. She liked the look of it but that's about it.",311,0,0,meh,0,2.0,0.0,1389139200.0,2014-01-08 00:00:00+00:00,Cell_Phones_and_Accessories
